array_size,selectionTime,,
106000,68820.5,,106
107000,70125.125,,107
108000,71442,,108
109000,72771.125,,109
110000,74112.5,,110
111000,75466.125,,111
112000,76832,,112
113000,78210.125,,113
114000,79600.5,,114
115000,81003.125,,115
116000,82418,,116
117000,83845.125,,117
118000,85284.5,,118
119000,86736.125,,119
120000,88200,,120
121000,89676.125,,121
122000,91164.5,,122
123000,92665.125,,123
124000,94178,,124
125000,95703.125,,125
126000,97240.5,,126
127000,98790.125,,127
128000,100352,,128
129000,101926.125,,129
130000,103512.5,,130
131000,105111.125,,131
132000,106722,,132
133000,108345.125,,133
134000,109980.5,,134
135000,111628.125,,135
136000,113288,,136
137000,114960.125,,137
138000,116644.5,,138
139000,118341.125,,139
140000,120050,,140
141000,121771.125,,141
142000,123504.5,,142
143000,125250.125,,143
144000,127008,,144
145000,128778.125,,145
146000,130560.5,,146
147000,132355.125,,147
148000,134162,,148
149000,135981.125,,149
150000,137812.5,,150
151000,139656.125,,151
152000,141512,,152
153000,143380.125,,153
154000,145260.5,,154
155000,147153.125,,155
156000,149058,,156
157000,150975.125,,157
158000,152904.5,,158
159000,154846.125,,159
160000,156800,,160
161000,158766.125,,161
162000,160744.5,,162
163000,162735.125,,163
164000,164738,,164
165000,166753.125,,165
166000,168780.5,,166
167000,170820.125,,167
168000,172872,,168
169000,174936.125,,169
170000,177012.5,,170
171000,179101.125,,171
172000,181202,,172
173000,183315.125,,173
174000,185440.5,,174
175000,187578.125,,175
176000,189728,,176
177000,191890.125,,177
178000,194064.5,,178
179000,196251.125,,179
180000,198450,,180
181000,200661.125,,181
182000,202884.5,,182
183000,205120.125,,183
184000,207368,,184
185000,209628.125,,185
186000,211900.5,,186
187000,214185.125,,187
188000,216482,,188
189000,218791.125,,189
190000,221112.5,,190
191000,223446.125,,191
192000,225792,,192
193000,228150.125,,193
194000,230520.5,,194
195000,232903.125,,195
196000,235298,,196
197000,237705.125,,197
198000,240124.5,,198
199000,242556.125,,199
200000,245000,,200
201000,247456.125,,201
202000,249924.5,,202
203000,252405.125,,203
204000,254898,,204
205000,257403.125,,205
206000,259920.5,,206
207000,262450.125,,207
208000,264992,,208
209000,267546.125,,209
210000,270112.5,,210
211000,272691.125,,211
212000,275282,,212
213000,277885.125,,213
214000,280500.5,,214
215000,283128.125,,215
216000,285768,,216
217000,288420.125,,217
218000,291084.5,,218
219000,293761.125,,219
220000,296450,,220
221000,299151.125,,221
222000,301864.5,,222
223000,304590.125,,223
224000,307328,,224
225000,310078.125,,225
226000,312840.5,,226
227000,315615.125,,227
228000,318402,,228
229000,321201.125,,229
230000,324012.5,,230
231000,326836.125,,231
232000,329672,,232
233000,332520.125,,233
234000,335380.5,,234
235000,338253.125,,235
236000,341138,,236
237000,344035.125,,237
238000,346944.5,,238
239000,349866.125,,239
240000,352800,,240
241000,355746.125,,241
242000,358704.5,,242
243000,361675.125,,243
244000,364658,,244
245000,367653.125,,245
246000,370660.5,,246
247000,373680.125,,247
248000,376712,,248
249000,379756.125,,249
250000,382812.5,,250
251000,385881.125,,251
252000,388962,,252
253000,392055.125,,253
254000,395160.5,,254
255000,398278.125,,255
256000,401408,,256
257000,404550.125,,257
258000,407704.5,,258
259000,410871.125,,259
260000,414050,,260
261000,417241.125,,261
262000,420444.5,,262
263000,423660.125,,263
264000,426888,,264
265000,430128.125,,265
266000,433380.5,,266
267000,436645.125,,267
268000,439922,,268
269000,443211.125,,269
270000,446512.5,,270
271000,449826.125,,271
272000,453152,,272
273000,456490.125,,273
274000,459840.5,,274
275000,463203.125,,275
276000,466578,,276
277000,469965.125,,277
278000,473364.5,,278
279000,476776.125,,279
280000,480200,,280
281000,483636.125,,281
282000,487084.5,,282
283000,490545.125,,283
284000,494018,,284
285000,497503.125,,285
286000,501000.5,,286
287000,504510.125,,287
288000,508032,,288
289000,511566.125,,289
290000,515112.5,,290
291000,518671.125,,291
292000,522242,,292
293000,525825.125,,293
294000,529420.5,,294
295000,533028.125,,295
296000,536648,,296
297000,540280.125,,297
298000,543924.5,,298
299000,547581.125,,299
300000,551250,,300
301000,554931.125,,301
302000,558624.5,,302
303000,562330.125,,303
304000,566048,,304
305000,569778.125,,305
306000,573520.5,,306
307000,577275.125,,307
308000,581042,,308
309000,584821.125,,309
310000,588612.5,,310
311000,592416.125,,311
312000,596232,,312
313000,600060.125,,313
314000,603900.5,,314
315000,607753.125,,315
316000,611618,,316
317000,615495.125,,317
318000,619384.5,,318
319000,623286.125,,319
320000,627200,,320
321000,631126.125,,321
322000,635064.5,,322
323000,639015.125,,323
324000,642978,,324
325000,646953.125,,325
326000,650940.5,,326
327000,654940.125,,327
328000,658952,,328
329000,662976.125,,329
330000,667012.5,,330
331000,671061.125,,331
332000,675122,,332
333000,679195.125,,333
334000,683280.5,,334
335000,687378.125,,335
336000,691488,,336
337000,695610.125,,337
338000,699744.5,,338
339000,703891.125,,339
340000,708050,,340
341000,712221.125,,341
342000,716404.5,,342
343000,720600.125,,343
344000,724808,,344
345000,729028.125,,345
346000,733260.5,,346
347000,737505.125,,347
348000,741762,,348
349000,746031.125,,349
350000,750312.5,,350
351000,754606.125,,351
352000,758912,,352
353000,763230.125,,353
354000,767560.5,,354
355000,771903.125,,355
356000,776258,,356
357000,780625.125,,357
358000,785004.5,,358
359000,789396.125,,359
360000,793800,,360
361000,798216.125,,361
362000,802644.5,,362
363000,807085.125,,363
364000,811538,,364
365000,816003.125,,365
366000,820480.5,,366
367000,824970.125,,367
368000,829472,,368
369000,833986.125,,369
370000,838512.5,,370
371000,843051.125,,371
372000,847602,,372
373000,852165.125,,373
374000,856740.5,,374
375000,861328.125,,375
376000,865928,,376
377000,870540.125,,377
378000,875164.5,,378
379000,879801.125,,379
380000,884450,,380
381000,889111.125,,381
382000,893784.5,,382
383000,898470.125,,383
384000,903168,,384
385000,907878.125,,385
386000,912600.5,,386
387000,917335.125,,387
388000,922082,,388
389000,926841.125,,389
390000,931612.5,,390
391000,936396.125,,391
392000,941192,,392
393000,946000.125,,393
394000,950820.5,,394
395000,955653.125,,395
396000,960498,,396
397000,965355.125,,397
398000,970224.5,,398
399000,975106.125,,399
400000,980000,,400
401000,984906.125,,401
402000,989824.5,,402
403000,994755.125,,403
404000,999698,,404
405000,1004653.125,,405
406000,1009620.5,,406
407000,1014600.125,,407
408000,1019592,,408
409000,1024596.125,,409
410000,1029612.5,,410
411000,1034641.125,,411
412000,1039682,,412
413000,1044735.125,,413
414000,1049800.5,,414
415000,1054878.125,,415
416000,1059968,,416
417000,1065070.125,,417
418000,1070184.5,,418
419000,1075311.125,,419
420000,1080450,,420
421000,1085601.125,,421
422000,1090764.5,,422
423000,1095940.125,,423
424000,1101128,,424
425000,1106328.125,,425
426000,1111540.5,,426
427000,1116765.125,,427
428000,1122002,,428
429000,1127251.125,,429
430000,1132512.5,,430
431000,1137786.125,,431
432000,1143072,,432
433000,1148370.125,,433
434000,1153680.5,,434
435000,1159003.125,,435
436000,1164338,,436
437000,1169685.125,,437
438000,1175044.5,,438
439000,1180416.125,,439
440000,1185800,,440
441000,1191196.125,,441
442000,1196604.5,,442
443000,1202025.125,,443
444000,1207458,,444
445000,1212903.125,,445
446000,1218360.5,,446
447000,1223830.125,,447
448000,1229312,,448
449000,1234806.125,,449
450000,1240312.5,,450
451000,1245831.125,,451
452000,1251362,,452
453000,1256905.125,,453
454000,1262460.5,,454
455000,1268028.125,,455
456000,1273608,,456
457000,1279200.125,,457
458000,1284804.5,,458
459000,1290421.125,,459
460000,1296050,,460
461000,1301691.125,,461
462000,1307344.5,,462
463000,1313010.125,,463
464000,1318688,,464
465000,1324378.125,,465
466000,1330080.5,,466
467000,1335795.125,,467
468000,1341522,,468
469000,1347261.125,,469
470000,1353012.5,,470
471000,1358776.125,,471
472000,1364552,,472
473000,1370340.125,,473
474000,1376140.5,,474
475000,1381953.125,,475
476000,1387778,,476
477000,1393615.125,,477
478000,1399464.5,,478
479000,1405326.125,,479
480000,1411200,,480
481000,1417086.125,,481
482000,1422984.5,,482
483000,1428895.125,,483
484000,1434818,,484
485000,1440753.125,,485
486000,1446700.5,,486
487000,1452660.125,,487
488000,1458632,,488
489000,1464616.125,,489
490000,1470612.5,,490
491000,1476621.125,,491
492000,1482642,,492
493000,1488675.125,,493
494000,1494720.5,,494
495000,1500778.125,,495
496000,1506848,,496
497000,1512930.125,,497
498000,1519024.5,,498
499000,1525131.125,,499
500000,1531250,,500
